Claim_Ref_Id,Location Id,Claim Type,ECA,Product ID,Serial Number,Service Date,POP Date,Technician Id,Service Delivery Type,Authorization Code,Incident Number,Part1 Product ID New,Part2 Product ID New,Part3 Product ID New,Part4 Product ID New,Part5 Product ID New,Customer Contact Name,Customer Company,Customer Address1,Customer Address2,Customer City,Customer Country,Customer State,Customer Postalcode,Customer PhoneNr,Customer Email,Ship To,Shipment Method,Shipto Contact Name,Shipto Company,Shipto Address1,Shipto Address2,Shipto City,Shipto Country,Shipto State,Shipto Postalcode,Shipto PhoneNr,Shipto Email,Part Failure Description,Incident ID, Incident Report
 LCPS-CLW-219369-317337,1210402040,CLW,,21B6S3BD00,PW069JXJ,2025-12-08,,1500938879,CIAWSP2,,,5B21K86248,,,,,Chris Watson, Loudoun County Public School,43711 Partlow Road,,Ashburn,US,VA,20147,,,A,ST,Syed Rizvi,Cell Tech Inc,4200 Lafayette Center Dr Unit T,,Chantilly,US,VA,20151,,,"Device's System Board is causing an issue during device re-imaging. Device unable to re-image using PXE boot and USB boot. Tested SSD health and found no issues - healthy. System Board needs replacement.",719268,"Device came back from Cell Tech saying that there was a "System Update", and no hardware changes. When opened, the device prompted for the Bitlocker Recovery so DES attempted to reimage. The device will not image, over network or with USB boot. Secure Boot keys were cleared and this made no change."
 LCPS-ADW-219549-332302,1210402040,ADW,,82W20003US,YX06KQ24,2025-12-08,,1501313880,CIAWSP2,,,5B21L33482,5D11C95908,,,,Chris Watson, Loudoun County Public School,43711 Partlow Road,,Ashburn,US,VA,20147,,,A,ST,Syed Rizvi,Cell Tech Inc,4200 Lafayette Center Dr Unit T,,Chantilly,US,VA,20151,,,"Device accidentally dropped. LCD cracked along top edge, touch screen not working. Testing touchscreen with known working LCD and LCD cable did not fix touch issue, system board is root of issue. LCD and system board need replacement., , ",719822,"Per Student – I accidentally dropped it.

Per DES –Screen damaged. No other visible damage to the device."
 LCPS-ADW-219616-367132,1210402040,ADW,,82W20003US,YX0ALKFF,2025-12-08,,1500938879,CIAWSP2,,,5B21L33482,5N21L44038,,,,Chris Watson, Loudoun County Public School,43711 Partlow Road,,Ashburn,US,VA,20147,,,A,ST,Syed Rizvi,Cell Tech Inc,4200 Lafayette Center Dr Unit T,,Chantilly,US,VA,20151,,,"School claims machine "turns on but display not connected." This claim was not accurate; while the system board powers on, it is not drawing enough electricity from the battery to power the external devices. The machine was inspected, and, there are no si",719967,"Chromebook turns on but display not connected, DES tried to open recovery screen. Possibly faulty connection to display"
 LCPS-ADW-219631-329662,1210402040,ADW,,82W20003US,YX06XQE6,2025-12-08,,1501313880,CIAWSP2,,,5D11C95908,,,,,Chris Watson, Loudoun County Public School,43711 Partlow Road,,Ashburn,US,VA,20147,,,A,ST,Syed Rizvi,Cell Tech Inc,4200 Lafayette Center Dr Unit T,,Chantilly,US,VA,20151,,,"Chromebook has a broken LCD . it was accidently dropped, Needs LCD replacement .",720033,"Chromebook has a broken screen. No information was given as to how it happened."
 LCPS-ADW-219682-324891,1210402040,ADW,,82W20003US,YX06YGQM,2025-12-08,,1501313880,CIAWSP2,,,5D11C95908,,,,,Chris Watson, Loudoun County Public School,43711 Partlow Road,,Ashburn,US,VA,20147,,,A,ST,Syed Rizvi,Cell Tech Inc,4200 Lafayette Center Dr Unit T,,Chantilly,US,VA,20151,,,"User describes accidentally dropping device. LCD is cracked at top right of LCD. No other damage found. Needs Replacement. ",720229,"Cracked screen. Students accidently dropped his chromebook this morning and the screen cracked causing the touch screen not to work.Student has been advised that if damaged has been deemed as not accidental parents will be financially responsible for the replacement cost per AUP agreement."
 LCPS-ADW-219685-403444,1210402040,ADW,,82W20003US,YX0D33HT,2025-12-08,,1501313880,CIAWSP2,,,5B21L33482,,,,,Chris Watson, Loudoun County Public School,43711 Partlow Road,,Ashburn,US,VA,20147,,,A,ST,Syed Rizvi,Cell Tech Inc,4200 Lafayette Center Dr Unit T,,Chantilly,US,VA,20151,,,"Headphone jack broken off inside of audio port. Unable to clear audio port. System board needs replacement., ",720241,"Student was using her Chromebook and when pull the headphone jack of the port part of the headphone jack broke inside the port.


Asset# 403444"
 LCPS-ADW-219763-320423,1210402040,ADW,,82W20003US,YX06W25N,2025-12-08,,1501304515,CIAWSP2,,,5B30Z38973,5D11C95908,,,,Chris Watson, Loudoun County Public School,43711 Partlow Road,,Ashburn,US,VA,20147,,,A,ST,Syed Rizvi,Cell Tech Inc,4200 Lafayette Center Dr Unit T,,Chantilly,US,VA,20151,,,"Device LCD barely visible when on, LCD bezel cracked on left side. Testing with known working LCD fixed issue. LCD and LCD bezel need replacement. The damages are consistent with a drop and show no signs of intentional damage.	, , , ",720414,"Device will not power on. Connected a charger and the LED lights up but it still does not power on. Tried to powerwash but....its not turning on.
I checked the device for additional physical damage; nothing further was observed.
Unknown, intentional, and negligent damage may result in students/parents being responsible for the repair costs."
 LCPS-CLW-219765-398571,1210402040,CLW,,82W20003US,YX0AMT3L,2025-12-08,,1500938879,CIAWSP2,,,5B21L33482,,,,,Chris Watson, Loudoun County Public School,43711 Partlow Road,,Ashburn,US,VA,20147,,,A,ST,Syed Rizvi,Cell Tech Inc,4200 Lafayette Center Dr Unit T,,Chantilly,US,VA,20151,,,"Low Power Charging. Tested with good known chargers along with battery but issue persists. Tested with known good system board and the issue resolved. System board needs replacement.",720419,"The Chromebook is not charging past 1%. A working charger has been plugged in, and the power port light is red,but it will not charge the Chromebook. DES is unable to perform a power wash."
 LCPS-ADW-219791-329509,1210402040,ADW,,82W20003US,YX06ZAYY,2025-12-08,,1501304515,CIAWSP2,,,5C51J62726,5CB1J18185,5D11C95908,,,Chris Watson, Loudoun County Public School,43711 Partlow Road,,Ashburn,US,VA,20147,,,A,ST,Syed Rizvi,Cell Tech Inc,4200 Lafayette Center Dr Unit T,,Chantilly,US,VA,20151,,,"Users device hit their locker. LCD cracked in top middle, USB-A port not working on I/O board side, and LCD base cover hooks broken in upper right corner. LCD, LCD base cover, and I/O board need replacements.",720476,"329509
Per Student: I have a crack and it won't let the touchscreen work and its clicking buttons. It happened when I was putting it in my locker and it hit the top and cracked.
Per DES: Cracked screen. No other damage observed."
 LCPS-CLW-219805-368502,1210402040,CLW,,82W20003US,YX0AJC9X,2025-12-08,,1501304515,CIAWSP2,,,5B21L33482,,,,,Chris Watson, Loudoun County Public School,43711 Partlow Road,,Ashburn,US,VA,20147,,,A,ST,Syed Rizvi,Cell Tech Inc,4200 Lafayette Center Dr Unit T,,Chantilly,US,VA,20151,,,"User reports a loss of power rapidly despite being on full charge. They also mention a long duration of Charging to complete a full charge. During diagnosis all symptoms were present and needed further testing. Although no physical damage was found, The r",720498,"Device loses power rapidly when not plugged in going from full charge to dead in less than an hour while requiring almost 12 hours to fully charge. Unknown, Intentional, and Negligent damage may result in students/parents being responsible for the repair costs"
